match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,country_name,competition_name,season_id,season_name,home_team_id,home_team_name,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,home_team_managers_id,home_team_managers_name,home_team_managers_nickname,home_team_managers_dob,home_team_managers_country_id,home_team_managers_country_name,away_team_id,away_team_name,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,away_team_managers_id,away_team_managers_name,away_team_managers_nickname,away_team_managers_dob,away_team_managers_country_id,away_team_managers_country_name,metadata_data_version,metadata_shot_fidelity_version,metadata_xy_fidelity_version,competition_stage_id,competition_stage_name,stadium_id,stadium_name,stadium_country_id,stadium_country_name,referee_id,referee_name,referee_country_id,referee_country_name
3893816,2023-07-29,2023-07-29 15:30:00,0,1,available,available,2023-08-21 14:28:43.104162,2023-08-21 14:33:06.577206,2,72,International,Women's World Cup,107,2023,16803,Panama Women's,female,,176,Panama,1003446,Ignacio Quintana Toledo,Ignacio Quintana Toledo,1988-04-20,147,Mexico,1212,Jamaica Women's,female,,113,Jamaica,1003439,Lorne Julian Donaldson,Lorne Julian Donaldson,1986-10-09,241,United States of America,1.1.0,2,2,10,Group Stage,28891,HBF Park,14,Australia,374.0,Kateryna Monzul,238.0,Ukraine
3893815,2023-07-29,2023-07-29 13:00:00,2,1,available,available,2023-08-10 13:22:17.909730,2023-08-10 13:25:29.764380,2,72,International,Women's World Cup,107,2023,861,France Women's,female,,78,France,642,Hervé Renard,Hervé Renard,1968-09-30,78,France,1203,Brazil Women's,female,,31,Brazil,177,Pia Mariane Sundhage,Pia Sundhage,1960-02-13,220,Sweden,1.1.0,2,2,10,Group Stage,28884,Brisbane Stadium,14,Australia,1640.0,Kate Jacewicz,14.0,Australia
3893805,2023-07-26,2023-07-26 08:00:00,2,0,available,available,2023-08-05 11:31:42.240459,2023-08-05 11:34:33.214164,2,72,International,Women's World Cup,107,2023,1210,Japan Women's,female,,114,Japan,1003258,Futoshi Ikeda,Futoshi Ikeda,1970-10-04,114,Japan,1832,Costa Rica Women's,female,,54,Costa Rica,4855,Amelia Valverde,Amelia Valverde,1987-01-14,54,Costa Rica,1.1.0,2,2,10,Group Stage,1001341,Forsyth Barr,163,New Zealand,1608.0,Maria Sole Ferrieri Caputi,112.0,Italy
3893803,2023-07-25,2023-07-25 08:30:00,0,1,available,available,2023-08-21 13:04:19.101690,2023-08-21 13:08:15.309035,2,72,International,Women's World Cup,107,2023,1215,New Zealand Women's,female,,163,New Zealand,1003415,Jitka Klimková,Jitka Klimková,1974-08-20,60,Czech Republic,1106,Philippines Women's,female,,180,Philippines,2957,Alen Stajčić,Alen Stajčić,1973-11-02,14,Australia,1.1.0,2,2,10,Group Stage,98115,Wellington Regional Stadium,14,Australia,1746.0,Katia Itzel García,147.0,Mexico
3893802,2023-07-25,2023-07-25 05:00:00,2,0,available,available,2023-08-14 12:24:32.484658,2023-08-14 12:28:53.852839,1,72,International,Women's World Cup,107,2023,16802,Colombia Women's,female,,49,Colombia,1003449,Angelo Marsiglia,Angelo Marsiglia,,49,Colombia,1211,Korea Republic Women's,female,,121,Korea (South),585,Colin Bell,Colin Bell,1961-08-05,68,England,1.1.0,2,2,10,Group Stage,1001126,Allianz Stadium (Sydney),14,Australia,566.0,Rebecca Welch,68.0,England
3893800,2023-07-24,2023-07-24 09:00:00,1,0,available,available,2023-08-12 17:44:57.719395,2023-08-12 17:49:18.347307,1,72,International,Women's World Cup,107,2023,855,Italy Women's,female,,112,Italy,4085,Milena Bertolini,Milena Bertolini,1966-06-24,112,Italy,1204,Argentina Women's,female,,11,Argentina,1003445,Germán Darío Portanova,Germán Darío Portanova,1973-10-19,11,Argentina,1.1.0,2,2,10,Group Stage,28892,Eden Park,163,New Zealand,1626.0,Melissa Paola Borjas Pastrana,101.0,Honduras
3893799,2023-07-24,2023-07-24 11:30:00,6,0,available,available,2023-08-21 14:27:48.144704,2023-08-21 14:33:45.142288,1,72,International,Women's World Cup,107,2023,857,Germany Women's,female,,85,Germany,53,Martina Voss-Tecklenburg,Martina Voss-Tecklenburg,1967-12-22,85,Germany,2391,Morocco Women's,female,,154,Morocco,760,Reynald Pedros,Reynald Pedros,1971-10-10,78,France,1.1.0,2,2,10,Group Stage,28886,AAMI Park,14,Australia,1171.0,Tori Penso,241.0,United States of America
3893796,2023-07-23,2023-07-23 08:00:00,2,1,available,available,2023-07-30 08:04:59.799077,2023-07-30 08:06:34.006738,1,72,International,Women's World Cup,107,2023,858,Sweden Women's,female,,220,Sweden,3016,Peter Gerhardsson,Peter Gerhardsson,1959-08-22,220,Sweden,1216,South Africa Women's,female,,211,South Africa,3925,Desiree Ellis,Desiree Ellis,1963-03-14,211,South Africa,1.1.0,2,2,10,Group Stage,98115,Wellington Regional Stadium,14,Australia,751.0,Katja Koroleva,241.0,United States of America
3893795,2023-07-22,2023-07-22 15:00:00,1,0,available,available,2023-08-16 06:04:10.017931,2023-08-16 06:06:04.857484,1,72,International,Women's World Cup,107,2023,853,Denmark Women's,female,,61,Denmark,3574,Lars Søndergaard,Lars Søndergaard,1959-04-05,61,Denmark,1207,China PR Women's,female,,46,China,1003429,Qingxia Shui,Shui Qingxia,1966-12-18,46,China,1.1.0,2,2,10,Group Stage,28891,HBF Park,14,Australia,1627.0,Marie-Soleil Beaudoin,40.0,Canada
3893793,2023-07-22,2023-07-22 10:00:00,0,5,available,available,2023-08-12 12:50:12.950377,2023-08-12 12:52:06.769558,1,72,International,Women's World Cup,107,2023,6045,Zambia Women's,female,,253,Zambia,1000425,Bruce Mwape,Bruce Mwape,,253,Zambia,1210,Japan Women's,female,,114,Japan,1003258,Futoshi Ikeda,Futoshi Ikeda,1970-10-04,114,Japan,1.1.0,2,2,10,Group Stage,1001342,FMG Stadium Waikato,163,New Zealand,830.0,Tess Olofsson,220.0,Sweden
